NSE Index	""	""	""	""	""	""
Ticker	NSE Index	CNX500	CPSE	NIFINDIAMANU	NIFMICCAP250	NIFTOTALMAR
Name	Nifty 50	Nifty 500	Nifty CPSE	Nifty India Manufacturing Index	Nifty Microcap 250 Index	Nifty Total Market
URL	https://strike-analytics-dev.netlify.app/stocks/nifty-50	https://strike-analytics-dev.netlify.app/stocks/nifty-500	https://strike-analytics-dev.netlify.app/stocks/nifty-cpse	https://strike-analytics-dev.netlify.app/stocks/nifty-india-manufacturing-index	https://strike-analytics-dev.netlify.app/stocks/nifty-microcap-250-index	https://strike-analytics-dev.netlify.app/stocks/nifty-total-market
2025-05-15 21:35:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-15 21:40:59.000000	25062.1	22788.8	6413.45	14118.85	22640.7	12810.4
2025-05-16 14:45:59.000000	24999.05	22760.45	6420.95	14117.3	22650.7	12795.25
2025-05-16 14:50:59.000000	25008.5	22802.5	6450.6	14156.05	22694.75	12818.95
2025-05-16 14:55:59.000000	25010.05	22816.6	6458.6	14161.1	22756.6	12827.85
2025-05-16 15:00:59.000000	25052.0	22853.65	6476.5	14190.8	22794.35	12848.7
2025-05-16 15:05:59.000000	25021.25	22830.4	6476.5	14181.1	22786.95	12835.95
2025-05-16 15:10:59.000000	24983.15	22799.55	6471.05	14163.85	22753.65	12818.55
2025-05-16 15:15:59.000000	25022.1	22837.0	6494.3	14192.85	22783.3	12839.45
2025-05-16 15:20:59.000000	25013.05	22834.4	6491.0	14196.35	22796.0	12838.3
2025-05-16 15:25:59.000000	24985.7	22809.7	6494.3	14187.0	22762.1	12824.25
2025-05-16 15:30:59.000000	24999.7	22814.4	6502.15	14195.05	22738.5	12826.3
2025-05-16 15:35:59.000000	25014.45	22832.05	6516.95	14204.95	22755.15	12836.2
2025-05-16 15:40:59.000000	24998.4	22810.8	6504.3	14186.55	22698.95	12823.5
2025-05-16 15:45:59.000000	25008.15	22826.25	6508.4	14203.45	22721.35	12832.35
2025-05-16 15:50:59.000000	25038.55	22855.2	6520.15	14224.7	22742.5	12848.45
2025-05-16 15:55:59.000000	24995.05	22823.25	6509.9	14207.05	22730.2	12830.9
2025-05-16 16:00:59.000000	25004.9	22830.55	6510.45	14205.15	22740.3	12835.05
2025-05-16 16:05:59.000000	25006.35	22829.3	6507.5	14204.4	22726.45	12834.1
2025-05-16 16:10:59.000000	25003.6	22828.65	6511.5	14204.35	22711.8	12833.45
2025-05-16 16:15:59.000000	25000.0	22829.15	6510.8	14207.75	22713.35	12833.75
2025-05-16 16:20:59.000000	24993.6	22822.85	6502.6	14204.45	22708.75	12830.25
2025-05-16 16:25:59.000000	24994.2	22835.25	6510.95	14217.65	22737.75	12837.55
2025-05-16 16:30:59.000000	24996.75	22836.3	6516.25	14213.4	22726.5	12837.9
2025-05-16 16:35:59.000000	24985.6	22825.1	6511.5	14202.9	22722.7	12831.75
2025-05-16 16:40:59.000000	24960.55	22799.95	6501.1	14182.75	22684.8	12817.35
2025-05-16 16:45:59.000000	24972.65	22811.3	6503.05	14189.8	22711.75	12824.05
2025-05-16 16:50:59.000000	24978.4	22822.2	6515.05	14197.4	22735.45	12830.45
